"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
6.4;0.19;0.35;10.2;0.043;40;106;0.99632;3.16;0.5;9.7;6
6;0.38;0.26;3.5;0.035;38;111;0.98872;3.18;0.47;13.6;7
6.8;0.27;0.3;13;0.047;69;160;0.99705;3.16;0.5;9.6;6
6.8;0.27;0.3;13;0.047;69;160;0.99705;3.16;0.5;9.6;6
5.8;0.27;0.4;1.2;0.076;47;130;0.99185;3.13;0.45;10.3;6
5.8;0.3;0.09;6.3;0.042;36;138;0.99382;3.15;0.48;9.7;5
6.7;0.3;0.5;12.1;0.045;38;127;0.9974;3.04;0.53;8.9;6
6.7;0.3;0.5;12.1;0.045;38;127;0.9974;3.04;0.53;8.9;6
6;0.32;0.3;7.3;0.174;46;159;0.99519;3.18;0.49;9.4;5
5.7;0.33;0.32;1.4;0.043;28;93;0.9897;3.31;0.5;12.3;6
5.9;0.32;0.19;14.5;0.042;37;115;0.99684;3.16;0.43;10.3;5
6.2;0.26;0.2;8;0.047;35;111;0.99445;3.11;0.42;10.4;6
6;0.2;0.33;1.1;0.039;45;126;0.99051;3.31;0.45;11.6;7
7.3;0.35;0.67;8.3;0.053;10;100;0.9959;3.19;0.5;10.9;5
5.4;0.375;0.4;3.3;0.054;29;147;0.99482;3.42;0.52;9.1;5
6.2;0.76;0.01;3.2;0.041;18;120;0.99026;3.2;0.94;13.7;7
6.5;0.28;0.34;4.6;0.054;22;130;0.99193;3.2;0.46;12;7
6;0.34;0.29;6.1;0.046;29;134;0.99462;3.48;0.57;10.7;6
6.4;0.23;0.35;10.3;0.042;54;140;0.9967;3.23;0.47;9.2;5
5.9;0.32;0.26;1.5;0.057;17;141;0.9917;3.24;0.36;10.7;5
6.5;0.28;0.38;7.8;0.031;54;216;0.99154;3.03;0.42;13.1;6
6.2;0.28;0.57;1;0.043;50;92;0.99004;3.17;0.36;11.5;6
4.8;0.29;0.23;1.1;0.044;38;180;0.98924;3.28;0.34;11.9;6
6.4;0.33;0.44;8.9;0.055;52;164;0.99488;3.1;0.48;9.6;5
7.1;0.23;0.39;13.7;0.058;26;172;0.99755;2.9;0.46;9;6
6.4;0.35;0.51;7.8;0.055;53;177;0.99502;3.12;0.45;9.6;5
6.2;0.36;0.32;4;0.036;44;92;0.98936;3.2;0.5;13.3;7
5.3;0.6;0.34;1.4;0.031;3;60;0.98854;3.27;0.38;13;6
5.7;0.21;0.32;1.6;0.03;33;122;0.99044;3.33;0.52;11.9;6
6.5;0.33;0.38;8.3;0.048;68;174;0.99492;3.14;0.5;9.6;5
6.6;0.32;0.36;8;0.047;57;168;0.9949;3.15;0.46;9.6;5
